number,days,restbay,croyde,minehead,llangennith,kimmeridge,sennen,brighton,freshwatereast,freshwaterwest,marloes,westdale,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high,brighton_low,brighton_high,freshwatereast_low,freshwatereast_high,freshwaterwest_low,freshwaterwest_high,marloes_low,marloes_high,westdale_low,westdale_high,date
1,.125,3-4,3-5,1,2-3,3-4,4-6,1-2,1-2,3-4,4-6,3-4,3,4,3,5,1,,2,3,3,4,4,6,1,2,1,2,3,4,4,6,3,4,23 Feb 2021
2,.25,2-4,3-4,1,3-4,3-5,3-5,1,1-2,4-6,5-8,4-6,2,4,3,4,1,,3,4,3,5,3,5,1,,1,2,4,6,5,8,4,6,23 Feb 2021
3,.375,4-6,4-6,1,4-6,3-4,4-6,1-2,2-3,5-8,7-11,6-9,4,6,4,6,1,,4,6,3,4,4,6,1,2,2,3,5,8,7,11,6,9,23 Feb 2021
4,.5,5-8,5-8,1-2,5-8,4-6,4-7,2-3,2-3,7-11,8-13,7-11,5,8,5,8,1,2,5,8,4,6,4,7,2,3,2,3,7,11,8,13,7,11,23 Feb 2021
5,.625,6-9,5-9,1-2,6-9,5-7,5-8,2-4,2-4,7-11,9-14,7-11,6,9,5,9,1,2,6,9,5,7,5,8,2,4,2,4,7,11,9,14,7,11,23 Feb 2021
6,.75,6-9,5-9,1-2,6-9,6-9,5-7,3-4,2-4,7-12,9-14,7-12,6,9,5,9,1,2,6,9,6,9,5,7,3,4,2,4,7,12,9,14,7,12,23 Feb 2021
7,.875,6-9,5-9,1-2,6-9,6-9,5-8,3-4,2-4,8-12,9-14,8-12,6,9,5,9,1,2,6,9,6,9,5,8,3,4,2,4,8,12,9,14,8,12,23 Feb 2021
8,1,6-9,6-9,1-2,6-9,8-12,9-14,3-4,2-4,8-12,9-15,8-12,6,9,6,9,1,2,6,9,8,12,9,14,3,4,2,4,8,12,9,15,8,12,23 Feb 2021
9,1.125,6-10,6-10,2-3,6-10,6-9,9-14,3-5,2-3,8-13,9-14,8-13,6,10,6,10,2,3,6,10,6,9,9,14,3,5,2,3,8,13,9,14,8,13,23 Feb 2021
10,1.25,6-10,6-10,2-3,6-9,8-12,9-14,3-5,2-4,8-12,9-14,8-12,6,10,6,10,2,3,6,9,8,12,9,14,3,5,2,4,8,12,9,14,8,12,23 Feb 2021
11,1.375,8-12,6-9,2-3,6-9,10-16,9-14,3-5,2-3,6-10,7-12,7-10,8,12,6,9,2,3,6,9,10,16,9,14,3,5,2,3,6,10,7,12,7,10,23 Feb 2021
12,1.5,6-9,7-11,2-3,5-8,9-15,9-14,3-4,1-2,6-10,8-12,7-11,6,9,7,11,2,3,5,8,9,15,9,14,3,4,1,2,6,10,8,12,7,11,23 Feb 2021
13,1.625,6-10,7-10,2-3,5-7,9-14,9-14,3-4,1-2,8-12,8-13,8-12,6,10,7,10,2,3,5,7,9,14,9,14,3,4,1,2,8,12,8,13,8,12,23 Feb 2021
14,1.75,6-10,6-10,2-3,6-9,9-14,8-13,3-4,1,8-12,8-12,8-12,6,10,6,10,2,3,6,9,9,14,8,13,3,4,1,,8,12,8,12,8,12,23 Feb 2021
15,1.875,6-10,6-10,2-3,5-8,8-13,8-12,2-4,1,7-11,7-11,7-11,6,10,6,10,2,3,5,8,8,13,8,12,2,4,1,,7,11,7,11,7,11,23 Feb 2021
16,2,6-9,6-9,2-3,5-8,8-12,7-11,2-3,1,7-11,7-11,7-11,6,9,6,9,2,3,5,8,8,12,7,11,2,3,1,,7,11,7,11,7,11,23 Feb 2021
17,2.125,5-9,6-9,2-3,5-7,7-11,8-12,2-3,1,6-9,6-9,6-10,5,9,6,9,2,3,5,7,7,11,8,12,2,3,1,,6,9,6,9,6,10,23 Feb 2021
18,2.25,5-8,5-9,2-3,5-7,6-10,7-11,2-3,1,6-9,5-9,6-9,5,8,5,9,2,3,5,7,6,10,7,11,2,3,1,,6,9,5,9,6,9,23 Feb 2021
19,2.375,5-8,5-8,2,4-7,6-9,7-11,1-2,1,5-8,5-8,5-8,5,8,5,8,2,,4,7,6,9,7,11,1,2,1,,5,8,5,8,5,8,23 Feb 2021
20,2.5,5-7,5-7,1-2,4-6,5-9,7-10,1-2,1,5-8,5-7,5-8,5,7,5,7,1,2,4,6,5,9,7,10,1,2,1,,5,8,5,7,5,8,23 Feb 2021
21,2.625,4-7,4-7,1-2,4-6,5-8,6-10,1-2,1-2,5-7,4-6,5-7,4,7,4,7,1,2,4,6,5,8,6,10,1,2,1,2,5,7,4,6,5,7,23 Feb 2021
22,2.75,4-7,4-7,1-2,3-5,4-7,6-9,1-2,1,4-7,4-6,4-7,4,7,4,7,1,2,3,5,4,7,6,9,1,2,1,,4,7,4,6,4,7,23 Feb 2021
23,2.875,4-6,4-6,1-2,3-5,4-6,6-9,1-2,1,4-6,4-5,4-6,4,6,4,6,1,2,3,5,4,6,6,9,1,2,1,,4,6,4,5,4,6,23 Feb 2021
24,3,4-6,4-6,1-2,3-5,4-6,5-8,1-2,1-2,4-6,3-5,4-6,4,6,4,6,1,2,3,5,4,6,5,8,1,2,1,2,4,6,3,5,4,6,23 Feb 2021
25,3.125,4-5,4-6,1-2,3-4,3-5,5-8,1-2,2-3,3-5,3-5,3-5,4,5,4,6,1,2,3,4,3,5,5,8,1,2,2,3,3,5,3,5,3,5,23 Feb 2021
26,3.25,3-5,3-5,1,3-4,3-5,5-7,1-2,2-3,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,5,7,1,2,2,3,3,5,3,5,3,5,23 Feb 2021
27,3.375,3-5,3-5,1,3-4,3-5,5-7,1,2-4,3-5,3-5,3-5,3,5,3,5,1,,3,4,3,5,5,7,1,,2,4,3,5,3,5,3,5,23 Feb 2021
28,3.5,3-5,3-5,1,2-4,3-4,4-7,1,2-4,3-5,3-4,3-5,3,5,3,5,1,,2,4,3,4,4,7,1,,2,4,3,5,3,4,3,5,23 Feb 2021
29,3.625,3-5,3-5,1,2-4,3-4,4-6,1,2-3,3-5,3-4,3-5,3,5,3,5,1,,2,4,3,4,4,6,1,,2,3,3,5,3,4,3,5,23 Feb 2021
30,3.75,3-4,3-4,1,2-4,2-4,4-6,1,2,3-5,3-4,3-5,3,4,3,4,1,,2,4,2,4,4,6,1,,2,,3,5,3,4,3,5,23 Feb 2021
31,3.875,3-4,3-4,1,2-3,2-4,3-5,1,2,3-4,3-4,3-4,3,4,3,4,1,,2,3,2,4,3,5,1,,2,,3,4,3,4,3,4,23 Feb 2021
32,4,3-4,3-4,1,2-3,2-3,3-5,1,,3-4,3-4,3-4,3,4,3,4,1,,2,3,2,3,3,5,1,,,,3,4,3,4,3,4,23 Feb 2021
33,4.125,3-4,2-4,1,2-3,2-3,4-6,1,,2-4,2-4,2-4,3,4,2,4,1,,2,3,2,3,4,6,1,,,,2,4,2,4,2,4,23 Feb 2021
34,4.25,2-4,2-4,1,2-3,2-3,5-8,1,,2-4,2-4,3-4,2,4,2,4,1,,2,3,2,3,5,8,1,,,,2,4,2,4,3,4,23 Feb 2021
35,4.375,2-4,3-5,1,2-3,2-3,7-10,1,,3-5,4-6,4-7,2,4,3,5,1,,2,3,2,3,7,10,1,,,,3,5,4,6,4,7,23 Feb 2021
36,4.5,3-5,4-6,1-2,2-4,3-4,7-10,1,,5-7,4-6,5-7,3,5,4,6,1,2,2,4,3,4,7,10,1,,,,5,7,4,6,5,7,23 Feb 2021
37,4.625,4-6,5-7,1-2,3-4,3-5,7-10,1,,5-7,4-7,5-7,4,6,5,7,1,2,3,4,3,5,7,10,1,,,,5,7,4,7,5,7,23 Feb 2021
38,4.75,4-6,5-7,1-2,3-5,3-5,6-10,1,,5-7,4-7,5-7,4,6,5,7,1,2,3,5,3,5,6,10,1,,,,5,7,4,7,5,7,23 Feb 2021
39,4.875,4-6,4-7,1-2,3-5,3-5,6-9,1,,5-7,4-6,5-7,4,6,4,7,1,2,3,5,3,5,6,9,1,,,,5,7,4,6,5,7,23 Feb 2021
40,5,4-6,4-7,1-2,3-5,3-5,6-9,1,,4-7,4-6,4-7,4,6,4,7,1,2,3,5,3,5,6,9,1,,,,4,7,4,6,4,7,23 Feb 2021
41,5.125,4-6,4-6,1-2,3-5,3-5,5-8,1,,4-7,4-6,4-7,4,6,4,6,1,2,3,5,3,5,5,8,1,,,,4,7,4,6,4,7,23 Feb 2021
42,5.25,4-6,4-6,1-2,3-4,3-4,5-8,1,,4-6,4-6,4-6,4,6,4,6,1,2,3,4,3,4,5,8,1,,,,4,6,4,6,4,6,23 Feb 2021
43,5.375,4-6,4-6,1-2,3-4,3-4,5-7,1,,4-6,3-5,4-6,4,6,4,6,1,2,3,4,3,4,5,7,1,,,,4,6,3,5,4,6,23 Feb 2021
44,5.5,3-5,3-5,1-2,3-4,3-4,5-7,1-2,,4-6,3-5,4-6,3,5,3,5,1,2,3,4,3,4,5,7,1,2,,,4,6,3,5,4,6,23 Feb 2021
45,5.625,3-5,3-5,1-2,2-4,2-4,4-7,1,,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,4,4,7,1,,,,3,5,3,5,3,5,23 Feb 2021
46,5.75,3-5,3-5,1-2,2-4,2-4,4-6,1,,3-5,3-5,3-5,3,5,3,5,1,2,2,4,2,4,4,6,1,,,,3,5,3,5,3,5,23 Feb 2021
47,5.875,3-5,3-5,1-2,2-3,2-3,4-6,1,,3-5,3-4,3-5,3,5,3,5,1,2,2,3,2,3,4,6,1,,,,3,5,3,4,3,5,23 Feb 2021
48,6,3-4,3-5,1,2-3,2-3,4-7,1,,3-5,3-4,3-5,3,4,3,5,1,,2,3,2,3,4,7,1,,,,3,5,3,4,3,5,23 Feb 2021
49,6.125,3-4,3-4,1,2-3,2-3,4-7,1,,3-4,2-4,3-4,3,4,3,4,1,,2,3,2,3,4,7,1,,,,3,4,2,4,3,4,23 Feb 2021
50,6.25,2-4,3-4,1,2-3,2-3,4-6,1,,3-4,2-4,3-4,2,4,3,4,1,,2,3,2,3,4,6,1,,,,3,4,2,4,3,4,23 Feb 2021
51,6.375,2-3,2-4,1,2,2-3,4-6,1,,2-4,2-3,2-4,2,3,2,4,1,,2,,2,3,4,6,1,,,,2,4,2,3,2,4,23 Feb 2021
52,6.5,2-3,2-4,1,1-2,2-3,4-6,1,,2-3,2-3,2-3,2,3,2,4,1,,1,2,2,3,4,6,1,,,,2,3,2,3,2,3,23 Feb 2021
53,6.625,2-3,2-3,1,1-2,2,3-5,1,,2-3,2-3,2-3,2,3,2,3,1,,1,2,2,,3,5,1,,,,2,3,2,3,2,3,23 Feb 2021
54,6.75,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,2,2-3,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,2,,2,3,23 Feb 2021
55,6.875,2-3,2-3,1,1-2,1-2,3-5,1,,2-3,1-2,2,2,3,2,3,1,,1,2,1,2,3,5,1,,,,2,3,1,2,2,,23 Feb 2021
56,7,1-2,2-3,1,1-2,1-2,3-4,1,,1-2,1-2,1-2,1,2,2,3,1,,1,2,1,2,3,4,1,,,,1,2,1,2,1,2,23 Feb 2021
