,Price,Desc,Mls,PricesL,All,Type,Date
21,£3.30,Sainsbury's British Fresh Medium Whole Chicken,b'\xff\x00\x00\x00\x00P\xce',b'',"b""Sainsbury's British Fresh Medium Whole Chicken 1.6kg \xc2\xa33.30/unit \xc2\xa32.06/kg""",Chicken,2021-02-28
22,(71),"Sainsbury's Free Range Chicken Breast Fillets, Tas",b'\xc08',b'',"b""Sainsbury's Free Range Chicken Breast Fillets, Taste the Difference x2 (approx. 310g) \xc2\xa315.85/kg \xc2\xa31""",Chicken,2021-02-28
23,£1.85,Sainsbury's Chicken Thigh Fillets,b'',b'',"b""Sainsbury's Chicken Thigh Fillets 320g \xc2\xa31.85/unit \xc2\xa35.78/kg""",Chicken,2021-02-28
24,£5.75,Sainsbury's British Roast Boneless Chicken Breasts,b'',b'',"b""Sainsbury's British Roast Boneless Chicken Breasts x4 480g \xc2\xa35.75/unit \xc2\xa31.20/100g""",Chicken,2021-02-28
25,£1.60,Sainsbury's Breaded Chicken Goujons,b'',b'',"b""Sainsbury's Breaded Chicken Goujons 270g \xc2\xa31.60/unit \xc2\xa35.93/kg""",Chicken,2021-02-28
26,£1.00,Sainsbury's Mini Chicken Breast Fillets,b'',b'',"b""Sainsbury's Mini Chicken Breast Fillets 640g \xc2\xa33.40/unit \xc2\xa35.31/kg - Quantity + Add X-SELL \xc2\xa31.00/un""",Chicken,2021-02-28
27,£2.20,Sainsbury's British Wafer Thin Cooked Chicken,b'',b'',"b""Sainsbury's British Wafer Thin Cooked Chicken 400g \xc2\xa32.20/unit 55p/100g""",Chicken,2021-02-28
28,£3.25,Sainsbury's Just Cook British Chicken Crown with G,b'',b'',"b""Sainsbury's Just Cook British Chicken Crown with Garlic & Herb Butter 525g (Serves 3) Save 50p: Was """,Chicken,2021-02-28
29,(71),Sainsbury's Free Range British Chicken Breast Fill,b'\x00\x00\x00\x00\x00\xc0e',b'',"b""Sainsbury's Free Range British Chicken Breast Fillets, Taste the Difference (approx.590g) \xc2\xa315.20/kg""",Chicken,2021-02-28
30,£2.20,"Sainsbury's Garlic & Herb Chicken Kiev, Be Good To",b'\xba8\x00\x00\x00\x00\x05',b'',"b""Sainsbury's Garlic & Herb Chicken Kiev, Be Good To Yourself x2 260g \xc2\xa32.20/unit \xc2\xa38.46/kg""",Chicken,2021-02-28
31,£2.75,"Sainsbury's Roast Chicken Stuffing Topped, Taste t",b'\x1c\x07\xea\x00\x16\x00\x80',b'',"b""Sainsbury's Roast Chicken Stuffing Topped, Taste the Difference 135g \xc2\xa32.75/unit \xc2\xa32.04/100g""",Chicken,2021-02-28
32,£1.49,Sainsbury's Chicken Wings,b'',b'',"b""Sainsbury's Chicken Wings 1kg \xc2\xa31.49/unit \xc2\xa31.49/kg""",Chicken,2021-02-28
33,£3.50,Sainsbury's Garlic Chicken Breast Fillet Kievs,b'',b'\x00\xf5\x1d\xd7\xea\x00\x0c',"b""Sainsbury's Garlic Chicken Breast Fillet Kievs 390g \xc2\xa33.50/unit \xc2\xa38.97/kg""",Chicken,2021-02-28
34,£2.00,Sainsbury's BBQ Sliced Chicken Breast,b'',b'\x00\x801\x0b0\t\x06',"b""Sainsbury's BBQ Sliced Chicken Breast 160g Save 50p: Was \xc2\xa32.50 Now \xc2\xa32.00 \xc2\xa32.00/unit \xc2\xa31.25/100g""",Chicken,2021-02-28
35,(40),Sainsbury's Corn Fed Whole British Chicken (approx,b'',b'\x03U\x04\x06\x0c\x02i',"b""Sainsbury's Corn Fed Whole British Chicken (approx.1.55kg) \xc2\xa34.00/kg \xc2\xa34.00/kg Price shown is the ma""",Chicken,2021-02-28
36,£3.25,Sainsbury's Just Cook Chicken Breast Joint Butter ,b'',b'n1\x130\x11\x06\x03',"b""Sainsbury's Just Cook Chicken Breast Joint Butter Basted 500g (Serves 3) Save 50p: Was \xc2\xa33.75 Now \xc2\xa3""",Chicken,2021-02-28
37,£3.20,Sainsbury's Breaded Chicken Goujons,b'',b'U\x04\x0b\x0c\nem',"b""Sainsbury's Breaded Chicken Goujons 540g \xc2\xa33.20/unit \xc2\xa35.93/kg""",Chicken,2021-02-28
38,£2.50,Sainsbury's Southern Fried Chicken Breast Mini Fil,b'',b'sign pk',"b""Sainsbury's Southern Fried Chicken Breast Mini Fillets 300g \xc2\xa32.50/unit \xc2\xa38.20/kg""",Chicken,2021-02-28
39,(42),Sainsbury's Free Range Whole Fresh British Chicken,b'',b'i1%0#\x06\x03',"b""Sainsbury's Free Range Whole Fresh British Chicken, So Organic (approx.1.7kg) \xc2\xa37.45/kg \xc2\xa37.45/kg Pr""",Chicken,2021-02-28
40,£2.50,Sainsbury's Sweet Chilli Sliced Chicken Breast,b'',b'U\x04\n\x0c\x1cem',"b""Sainsbury's Sweet Chilli Sliced Chicken Breast 160g \xc2\xa32.50/unit \xc2\xa31.56/100g""",Chicken,2021-02-28
41,£2.50,Sainsbury's Tikka Sliced Chicken Breast,b'',b'udhra t',"b""Sainsbury's Tikka Sliced Chicken Breast 160g \xc2\xa32.50/unit \xc2\xa31.56/100g""",Chicken,2021-02-28
42,£2.00,Sainsbury's British Fresh Small Whole Chicken,b'',b'echnolo',"b""Sainsbury's British Fresh Small Whole Chicken 1.3kg \xc2\xa32.80/unit \xc2\xa32.07/kg - Quantity + Add X-SELL \xc2\xa3""",Chicken,2021-02-28
43,£4.45,Sainsbury's Roast in the Bag British Chicken Crown,b'',b'gies li',"b""Sainsbury's Roast in the Bag British Chicken Crown with Lemon, Garlic & Thyme 700g \xc2\xa34.45/unit \xc2\xa36.3""",Chicken,2021-02-28
44,£4.50,Sainsbury's Roast in the Bag Garlic & Parsley Bast,b'',b'mited1 ',"b""Sainsbury's Roast in the Bag Garlic & Parsley Basted Whole British Chicken, Garlic & Parsley Basted """,Chicken,2021-02-28
45,£4.00,Sainsbury's Chargrilled Chicken Breast Slices,b'',b'0\x1e\x06\x03U\x04\x03',"b""Sainsbury's Chargrilled Chicken Breast Slices 300g \xc2\xa34.00/unit \xc2\xa31.33/100g""",Chicken,2021-02-28
46,£1.75,Sainsbury's British Roast Chicken & Stuffing,b'',b'\x0c\x17emsig',"b""Sainsbury's British Roast Chicken & Stuffing 100g, x4 Slices \xc2\xa31.75/unit \xc2\xa31.75/100g""",Chicken,2021-02-28
47,£3.00,Sainsbury's Southern Fried Breaded Chicken Breast ,b'',b'n ecc r',"b""Sainsbury's Southern Fried Breaded Chicken Breast Fillets x2 315g \xc2\xa33.00/unit \xc2\xa39.52/kg""",Chicken,2021-02-28
48,60p,Sainsbury's British Wafer Thin Cooked Chicken,b'',b'oot ca ',"b""Sainsbury's British Wafer Thin Cooked Chicken 70g 60p/unit 86p/100g""",Chicken,2021-02-28
49,£2.50,Sainsbury's Breaded Chicken Breast Fillets x,b'\x00\r\x1c\x0f\xea\x00\x17',b'- g3',"b""Sainsbury's Breaded Chicken Breast Fillets x2 350g Save 50p: Was \xc2\xa33.00 Now \xc2\xa32.50 \xc2\xa32.50/unit \xc2\xa37.1""",Chicken,2021-02-28
50,£3.00,Sainsbury's Roast Chicken Thighs,b'\x00\x80',b'',"b""Sainsbury's Roast Chicken Thighs 500g \xc2\xa33.00/unit 60p/100g""",Chicken,2021-02-28
51,£7.50,Sainsbury's Chicken Breast Fillets,b'',b'\x00\x00\x00\xfd\x1d\xdf\xea',"b""Sainsbury's Chicken Breast Fillets 1.6kg \xc2\xa37.50/unit \xc2\xa34.69/kg""",Chicken,2021-02-28
52,£2.85,Sainsbury's British Fresh Quick Cook Chicken Breas,b'',b'\x00\r\x00\x801\x0b0',"b""Sainsbury's British Fresh Quick Cook Chicken Breast Sizzler Steaks 500g \xc2\xa32.85/unit \xc2\xa35.70/kg""",Chicken,2021-02-28
53,(15),Sainsbury's Free Range British Chicken Thigh & Dru,b'',b'\t\x06\x03U\x04\x06\x0c',"b""Sainsbury's Free Range British Chicken Thigh & Drumsticks, Taste the Difference (approx.590g) \xc2\xa36.95""",Chicken,2021-02-28
54,£1.00,Sainsbury's British Fresh Chicken Liver,b'',b'\x02hk1\x120\x10',"b""Sainsbury's British Fresh Chicken Liver 400g \xc2\xa31.00/unit \xc2\xa32.50/kg""",Chicken,2021-02-28
55,(19),"Sainsbury's Free Range Chicken Thigh Fillets, SO O",b'',b'\x06\x03U\x04\x08\x0c\t',"b""Sainsbury's Free Range Chicken Thigh Fillets, SO Organic (approx. 360g) \xc2\xa318.75/kg \xc2\xa318.75/kg""",Chicken,2021-02-28
56,£2.90,Sainsbury's Steamed Cooked Chicken Breast Fillets ,b'',b'hong ko',"b""Sainsbury's Steamed Cooked Chicken Breast Fillets x2 200g \xc2\xa32.90/unit \xc2\xa31.45/100g""",Chicken,2021-02-28
57,£2.50,Sainsbury's Breaded Mini Chicken Breast Fillets,b'',b'ng1\x120\x10\x06',"b""Sainsbury's Breaded Mini Chicken Breast Fillets 305g \xc2\xa32.50/unit \xc2\xa38.20/kg""",Chicken,2021-02-28
58,£5.00,Sainsbury's Roast Whole Cooked Chicken (approx.,b'',b'\x03U\x04\x07\x0c\th',"b""Sainsbury's Roast Whole Cooked Chicken (approx. 1kg) \xc2\xa35.00/unit 50p/100g""",Chicken,2021-02-28
59,£2.95,Sainsbury's British Cajun Chicken Breast Grills x,b'',b'ong kon',"b""Sainsbury's British Cajun Chicken Breast Grills x2 310g \xc2\xa32.95/unit \xc2\xa39.52/kg""",Chicken,2021-02-28
0,£2.00,Sainsbury's Fairtrade Bananas Loose,b'1\x0b0\t\x06\x03U',b'',"b""Sainsbury's Fairtrade Bananas Loose 73p/kg 73p/kg Purchase by: items kg - Quantity + Add X-SELL \xc2\xa32.""",Banana-Grape,2021-02-28
1,£1.10,Sainsbury's Fairtrade Bananas x,b'\x04\x06\x0c\x02us1',b'',"b""Sainsbury's Fairtrade Bananas x5 69p/unit 14p/ea - Quantity + Add X-SELL \xc2\xa31.10/unit 14p/ea""",Banana-Grape,2021-02-28
2,£1.75,Sainsbury's Red Seedless Grapes,b'\x160\x14\x06\x03U\x04',b'',"b""Sainsbury's Red Seedless Grapes 500g \xc2\xa32.00/unit \xc2\xa34.00/kg - Quantity + Add X-SELL \xc2\xa31.75/unit \xc2\xa34.3""",Banana-Grape,2021-02-28
3,£1.10,Sainsbury's Fairtrade Bananas x,b'\n\x0c\rgeot',b'',"b""Sainsbury's Fairtrade Bananas x8 \xc2\xa31.10/unit 14p/ea""",Banana-Grape,2021-02-28
4,£2.00,Sainsbury's White Seedless Grapes,b'rust in',b'',"b""Sainsbury's White Seedless Grapes 500g \xc2\xa32.00/unit \xc2\xa34.00/kg""",Banana-Grape,2021-02-28
5,£1.05,"Sainsbury's Small Bananas, Fairtrade x",b'c.1907\x06',b'',"b""Sainsbury's Small Bananas, Fairtrade x8 \xc2\xa31.05/unit 13p/ea""",Banana-Grape,2021-02-28
6,£1.75,Sainsbury's Red & White Seedless Grapes,b'\x03U\x04\x0b\x0c0(',b'',"b""Sainsbury's Red & White Seedless Grapes 500g Save 25p: Was \xc2\xa32.00 Now \xc2\xa31.75 \xc2\xa31.75/unit \xc2\xa33.50/kg""",Banana-Grape,2021-02-28
7,£2.00,Sainsbury's Black Seedless Grapes,b'c) 2007',b'',"b""Sainsbury's Black Seedless Grapes 500g \xc2\xa32.00/unit \xc2\xa34.00/kg""",Banana-Grape,2021-02-28
8,£1.75,"Sainsbury's Black Sable Seedless Grapes, Taste the",b' geotru',b'',"b""Sainsbury's Black Sable Seedless Grapes, Taste the Difference 400g Save 75p: Was \xc2\xa32.50 Now \xc2\xa31.75 \xc2""",Banana-Grape,2021-02-28
9,£1.35,"Sainsbury's Fairtrade Bananas, SO Organic x",b'st inc.',b'',"b""Sainsbury's Fairtrade Bananas, SO Organic x6 \xc2\xa31.35/unit 23p/ea""",Banana-Grape,2021-02-28
10,£2.50,"Sainsbury's Grapes (Red or Black), SO Organic",b' - for ',b'',"b""Sainsbury's Grapes (Red or Black), SO Organic 400g \xc2\xa32.50/unit \xc2\xa36.25/kg""",Banana-Grape,2021-02-28
11,£2.25,"Sainsbury's White Grapes, SO Organic",b'authori',b'',"b""Sainsbury's White Grapes, SO Organic 400g Save 75p: Was \xc2\xa33.00 Now \xc2\xa32.25 \xc2\xa32.25/unit \xc2\xa35.63/kg""",Banana-Grape,2021-02-28
12,£1.25,Sainsbury's Red Grapes,b'zed use',b'',"b""Sainsbury's Red Grapes 300g \xc2\xa31.25/unit \xc2\xa34.17/ea""",Banana-Grape,2021-02-28
13,£3.50,Sainsbury's Mixed Grapes,b' only16',b'',"b""Sainsbury's Mixed Grapes 900g \xc2\xa33.50/unit 39p/100g""",Banana-Grape,2021-02-28
14,£1.25,Sainsbury's White Grapes,b'04\x06\x03U\x04\x03',b'',"b""Sainsbury's White Grapes 300g \xc2\xa31.25/unit \xc2\xa34.17/kg""",Banana-Grape,2021-02-28
15,£2.50,"Sainsbury's Cotton Candy Seedless Grapes, Taste th",b'\x0c-geotr',b'',"b""Sainsbury's Cotton Candy Seedless Grapes, Taste the Difference, Ltd Edition 400g \xc2\xa32.50/unit \xc2\xa36.25/""",Banana-Grape,2021-02-28
16,£2.50,"Sainsbury's Vitoria Grape, Taste the Difference",b'ust pri',b'',"b""Sainsbury's Vitoria Grape, Taste the Difference 400g \xc2\xa32.50/unit \xc2\xa36.25/kg""",Banana-Grape,2021-02-28
17,£2.50,Sainsbury's Seeded Grapes,b'mary ce',b'',"b""Sainsbury's Seeded Grapes 700g \xc2\xa32.50/unit \xc2\xa33.57/kg""",Banana-Grape,2021-02-28
18,£1.75,Imperfectly Tasty Grapes,b'rtifica',b'',b'Imperfectly Tasty Grapes 500g \xc2\xa31.06/unit \xc2\xa32.12/kg - Quantity + Add X-SELL \xc2\xa31.75/unit \xc2\xa34.38/kg',Banana-Grape,2021-02-28
19,£2.00,"Sainsbury's Grapes, Limited Edition Taste the Diff",b'tion au',b'',"b""Sainsbury's Grapes, Limited Edition Taste the Difference 400g \xc2\xa32.00/unit \xc2\xa35.00/kg""",Banana-Grape,2021-02-28
0,30p,Sainsbury's Lemons,b'',b'',"b""Sainsbury's Lemons 30p/unit 30p/ea""",Citrus,2021-02-28
1,£1.85,"Sainsbury's Easy Peelers, Taste the Difference",b'\x00\x10h\xfb\xda\xff\x7f',b'\x00\x10h\xfb\xda\xff\x7f',"b""Sainsbury's Easy Peelers, Taste the Difference 600g \xc2\xa31.85/unit \xc2\xa33.08/kg""",Citrus,2021-02-28
2,£1.00,Sainsbury's Easy Peelers,b'',b'',"b""Sainsbury's Easy Peelers 600g Only \xc2\xa31.00: Save 35p \xc2\xa31.00/unit \xc2\xa31.67/kg""",Citrus,2021-02-28
3,19p,Sainsbury's Limes,b'\x00\x00\x00\x90.\xf48',b'\x00\x00\x00p+\xf48',"b""Sainsbury's Limes 19p/unit 19p/ea""",Citrus,2021-02-28
4,30p,Sainsbury's Oranges,b'\x00\x00\x00\x0004\xf4',"b""\x00\x00\x00\x00p'\xf4""","b""Sainsbury's Oranges 30p/unit 30p/ea""",Citrus,2021-02-28
5,(36),Sainsbury's Easy Peeler Loose £,b'8',b'8',"b""Sainsbury's Easy Peeler Loose \xc2\xa31.95/kg \xc2\xa31.95/kg Purchase by: items kg""",Citrus,2021-02-28
6,£4.90,Sainsbury's Lemons Unwaxed minimum,b'',b'',"b""Sainsbury's Lemons Unwaxed minimum 5 Save 50p: Was \xc2\xa31.50 Now \xc2\xa31.00 \xc2\xa31.00/unit 20p/ea - Quantity +""",Citrus,2021-02-28
7,60p,Sainsbury's Red Grapefruit,b'',b'',"b""Sainsbury's Red Grapefruit 60p/unit 60p/ea""",Citrus,2021-02-28
8,£1.50,Sainsbury's Oranges Large x,b'',b'',"b""Sainsbury's Oranges Large x4 Only \xc2\xa31.50: Save 35p \xc2\xa31.50/unit 37p/ea""",Citrus,2021-02-28
9,£2.00,"Sainsbury's Oranges, Taste the Difference x",b'',b'',"b""Sainsbury's Oranges, Taste the Difference x4 \xc2\xa32.00/unit 50p/ea""",Citrus,2021-02-28
10,95p,Sainsbury's Limes x,b'',b'',"b""Sainsbury's Limes x5 95p/unit 19p/ea""",Citrus,2021-02-28
11,£2.90,"Sainsbury's Easy Peelers Box, Taste the Difference",b'',b'',"b""Sainsbury's Easy Peelers Box, Taste the Difference 1kg \xc2\xa32.90/unit \xc2\xa32.90/kg""",Citrus,2021-02-28
12,£1.65,"Sainsbury's Lemons Unwaxed, SO Organic x",b'',b'',"b""Sainsbury's Lemons Unwaxed, SO Organic x3 \xc2\xa31.65/unit 55p/ea""",Citrus,2021-02-28
13,£1.35,Sainsbury's Tangerines,b'',b'',"b""Sainsbury's Tangerines 600g \xc2\xa31.35/unit \xc2\xa32.25/kg""",Citrus,2021-02-28
14,65p,Floridian Pink Grapefruit,b'',b'',b'Floridian Pink Grapefruit 65p/unit 65p/ea',Citrus,2021-02-28
15,60p,Sainsbury's White Grapefruit,b'',b'',"b""Sainsbury's White Grapefruit 60p/unit 60p/ea""",Citrus,2021-02-28
16,£1.95,Sainsbury's Family Size Easy Peelers,b'\x00\x00\x00\x00\x06',b'\x00\x00\x00\x00\x06',"b""Sainsbury's Family Size Easy Peelers 1kg \xc2\xa31.95/unit \xc2\xa31.95/kg""",Citrus,2021-02-28
17,£1.65,"Sainsbury's Oranges, SO Organic x",b'',b'',"b""Sainsbury's Oranges, SO Organic x4 \xc2\xa31.65/unit 41p/ea""",Citrus,2021-02-28
18,£1.75,Sainsbury's Blood Oranges Min x,b'',b'',"b""Sainsbury's Blood Oranges Min x5 \xc2\xa31.75/unit 35p/ea""",Citrus,2021-02-28
19,£1.85,"Sainsbury's Easy Peelers, SO Organic x",b'',b'',"b""Sainsbury's Easy Peelers, SO Organic x4 \xc2\xa31.85/unit \xc2\xa31.85/ea""",Citrus,2021-02-28
20,£1.85,"Sainsbury's Easy Peeler With Leaves, Taste the Dif",b'',b'',"b""Sainsbury's Easy Peeler With Leaves, Taste the Difference 500g \xc2\xa31.85/unit \xc2\xa33.70/kg""",Citrus,2021-02-28
21,£3.00,Sainsbury's Seville Marmalade Oranges,b'',b'',"b""Sainsbury's Seville Marmalade Oranges 1.5kg \xc2\xa33.00/unit \xc2\xa32.00/kg""",Citrus,2021-02-28
22,£1.65,Imperfectly Tasty Oranges x,b'',b'',b'Imperfectly Tasty Oranges x5 69p/unit 14p/ea - Quantity + Add X-SELL \xc2\xa31.65/unit 41p/ea',Citrus,2021-02-28
23,£2.90,Imperfectly Tasty Mini Easy Peelers,b'',b'',b'Imperfectly Tasty Mini Easy Peelers 600g 69p/unit 69p/ea - Quantity + Add X-SELL \xc2\xa32.90/unit \xc2\xa32.90/',Citrus,2021-02-28
24,£1.65,Imperfectly Tasty Lemons x,b'\xc0q\xf88',b'\x90e\xf88',b'Imperfectly Tasty Lemons x5 68p/unit 68p/ea - Quantity + Add X-SELL \xc2\xa31.65/unit 55p/ea',Citrus,2021-02-28
